Rank,Town ,postal code,,,,,,
1,Hartford,06101,,,,,,
2,New Britain,06050,,,,,,
3,West Hartford,06107,,,,,,
4,Bristol,06010,,,,,,
5,Manchester,06040,,,,,,
6,East Hartford,06108,,,,,,
7,Enfield,06082,,,,,,
8,Southington,06489,,,,,,
9,Glastonbury,06033,,,,,,
10,Newington,06111,,,,,,
11,Windsor,06006,,,,,,
12,Wethersfield,06109,,,,,,
13,South Windsor,06074,,,,,,
14,Farmington,06030,,,,,,
15,Simsbury,06070,,,,,,
16,Bloomfield,06002,,,,,,
17,Berlin,06037,,,,,,
18,Rocky Hill,06067,,,,,,
19,Avon,06001,,,,,,
20,Plainville,06062,,,,,,
21,Suffield,06078,,,,,,
22,Windsor Locks,06096,,,,,,
23,Granby,06035,,,,,,
24,East Windsor,06088,,,,,,
25,Canton,06019,,,,,,
26,Burlington,06013,,,,,,
27,Marlborough,06447,,,,,,
28,East Granby,06026,,,,,,
